,DBN,School Name,School Type,Enrollment,Rigorous Instruction Rating,Collaborative Teachers Rating,Supportive Environment Rating,Effective School Leadership Rating,Strong Family-Community Ties Rating,Trust Rating,Student Achievement Rating,Rigorous Instruction - Percent Positive,Collaborative Teachers - Percent Positive,Supportive Environment - Percent Positive,Effective School Leadership - Percent Positive,Strong Family-Community Ties - Percent Positive,Trust - Percent Positive,Quality Review - How interesting and challenging is the curriculum?,Quality Review - How effective is the teaching and learning?,Quality Review - How well does the school assess what students are learning?,Quality Review - How clearly are high expectations communicated to students and staff?,Quality Review - How well do teachers work with each other?,Quality Review - How safe and inclusive is the school while supporting social-emotional growth?,Quality Review - How well does the school allocate and manage resources?,"Quality Review - How well does the school identify, track, and meet its goals?",Quality Review - How thoughtful is the school’s approach to teacher development and evaluation?,Quality Review - How well are school decisions evaluated and adjusted?,Quality Review - Dates of Review,Average Grade 8 English Proficiency,Average Grade 8 Math Proficiency,Percent English Language Learners,Percent Students with Disabilities,Percent Self-Contained,Economic Need Index,Percent Overage/ Undercredited,Percent in Temp Housing,Percent HRA Eligible,Percent Asian,Percent Black,Percent Hispanic,Percent White,Years of principal experience at this school,Percent of teachers with 3 or more years of experience,Student Attendance Rate,Percent of Students Chronically Absent,Teacher Attendance Rate,dbn,total_students,graduation_rate,attendance_rate,pct_stu_enough_variety,college_career_rate,pct_stu_safe,girls,boys,pbat,international,specialized,transfer,ptech,earlycollege,school_accessibility_description,zip,Latitude,Longitude,Community Board,Council District,Census Tract,BIN,BBL
0,01M292,Orchard Collegiate Academy,High School,140,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,Meeting Target,0.81,0.92,0.8,0.92,0.82,0.94,Proficient,Proficient,Proficient,Proficient,Proficient,Well Developed,Proficient,Proficient,Well Developed,Proficient,April 2017,2.47,2.12,0.14300000000000002,0.271,0.036000000000000004,0.8320000000000001,0.079,0.2,0.621,0.15,0.243,0.55,0.05,1.9,0.5,0.867,0.44799999999999995,0.973,01M292,171,0.66,0.87,0.78,0.36,0.93,,,,,,,,,2.0,10002,40.713684,-73.986336,3,1,201,1003223.0,1002690041.0
1,01M448,University Neighborhood High School,High School,392,Meeting Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,Exceeding Target,0.82,0.88,0.76,0.89,0.86,0.92,Well Developed,Proficient,Proficient,Well Developed,Proficient,,,,,,2015-04-21T00:00:00.000,2.85,2.66,0.08900000000000001,0.14800000000000002,0.003,0.757,0.07400000000000001,0.17300000000000001,0.5379999999999999,0.301,0.245,0.42100000000000004,0.027999999999999997,7.5,0.429,0.925,0.244,0.971,01M448,465,0.9,0.93,0.73,0.7,0.92,,,,,,,,,,10002,40.712399,-73.98449699999999,3,1,202,1003214.0,1002590044.0
2,01M450,East Side Community School,High School,393,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Exceeding Target,Meeting Target,0.9,0.93,0.84,0.95,0.93,0.94,Well Developed,Proficient,Well Developed,Well Developed,Well Developed,,,,,,2015-05-26T00:00:00.000,3.06,2.93,0.01,0.244,0.0,0.586,0.008,0.055999999999999994,0.405,0.122,0.201,0.547,0.10400000000000001,15.8,0.78,0.94,0.16399999999999998,0.99,01M450,683,0.92,0.94,0.95,0.77,0.94,,,1.0,,,,,,,10009,40.729589000000004,-73.982555,3,2,34,1005974.0,1004390017.0
3,01M509,Marta Valle High School,High School,204,Not Meeting Target,Approaching Target,Approaching Target,Approaching Target,Approaching Target,Not Meeting Target,Approaching Target,0.61,0.68,0.65,0.65,0.79,0.75,Developing,Developing,Developing,Proficient,Developing,Proficient,Proficient,Proficient,Proficient,Proficient,December 2016,2.63,2.21,0.08800000000000001,0.294,0.025,0.767,0.09300000000000001,0.142,0.618,0.028999999999999998,0.363,0.583,0.02,2.0,0.647,0.79,0.631,0.946,01M509,148,0.74,0.79,0.64,0.49,0.89,,,,,,,,,2.0,10002,40.720581,-73.98564499999999,3,1,3001,1004323.0,1003540080.0
4,01M539,"New Explorations into Science, Technology and Math",High School,614,Meeting Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Approaching Target,Exceeding Target,0.81,0.75,0.72,0.74,0.91,0.81,Well Developed,Proficient,Proficient,Well Developed,Proficient,Well Developed,Well Developed,Proficient,Proficient,Well Developed,April 2017,3.73,3.8,0.005,0.099,0.0,0.359,0.015,0.034,0.18100000000000002,0.345,0.124,0.174,0.319,2.0,0.638,0.953,0.102,0.972,01M539,1734,0.97,0.95,0.77,0.85,0.89,,,,,,,,,,10002,40.718895,-73.97930799999999,3,2,2201,1004070.0,1003350001.0
5,01M696,Bard High School Early College,High School,548,Exceeding Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,0.89,0.82,0.82,0.91,0.86,0.9,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"March 18, 2016",3.93,4.02,0.0,0.028999999999999998,0.0,0.38299999999999995,0.005,0.044000000000000004,0.23399999999999999,0.254,0.161,0.179,0.391,6.8,0.8390000000000001,0.945,0.13,0.98,01M696,588,0.99,0.95,0.9,0.98,0.96,,,,,,,,1.0,1.0,10002,40.719029,-73.975891,3,2,1002,1004062.0,1003250025.0
6,02M047,47 The American Sign Language and English Secondar,High School,179,Meeting Target,Meeting Target,Meeting Target,Meeting Target,,,Meeting Target,0.65,0.77,0.68,0.84,0.8,0.84,Well Developed,Proficient,Proficient,Well Developed,Well Developed,,,,,,"February 12, 2015",2.83,2.37,0.05,0.257,0.045,0.732,0.061,0.12300000000000001,0.581,0.017,0.302,0.62,0.045,9.0,0.6,0.861,0.44299999999999995,0.978,02M047,165,0.91,0.86,0.55,0.62,0.92,,,,,,,,,2.0,10010,40.738548,-73.982455,6,2,64,,
7,02M135,The Urban Assembly School for Emergency Management,High School,315,Meeting Target,Approaching Target,Approaching Target,Meeting Target,Meeting Target,Meeting Target,Meeting Target,0.78,0.73,0.68,0.76,0.84,0.84,Well Developed,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,Proficient,October 2016,2.71,2.36,0.067,0.19,0.003,0.7120000000000001,0.076,0.149,0.524,0.057,0.27,0.61,0.048,4.0,0.792,0.83,0.511,0.9690000000000001,02M135,281,0.74,0.83,0.67,,0.86,,,,,,,,,1.0,10038,40.711442,-74.000851,1,1,29,1001388.0,1001130100.0
8,02M139,Stephen T. Mather Building Arts & Craftsmanship Hi,High School,378,Meeting Target,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Meeting Target,0.71,0.88,0.69,0.94,0.87,0.91,Proficient,Proficient,Proficient,Well Developed,Well Developed,,,,,,"December 19, 2014",2.62,2.35,0.069,0.272,0.008,0.7070000000000001,0.063,0.122,0.529,0.026000000000000002,0.259,0.619,0.077,4.0,0.33299999999999996,0.865,0.45299999999999996,0.982,02M139,394,0.83,0.87,0.84,,0.86,,,,,,,,,1.0,10019,40.76337,-73.990593,4,3,127,1026646.0,1010590015.0
9,02M260,M.S. 260 Clinton School Writers & Artists,High School,199,Exceeding Target,Meeting Target,Exceeding Target,Meeting Target,Meeting Target,Exceeding Target,,0.85,0.82,0.77,0.86,0.89,0.91,Well Developed,Well Developed,Well Developed,Well Developed,Proficient,,,,,,"March 3, 2015",3.61,3.32,0.01,0.18600000000000003,0.0,0.243,0.0,0.025,0.11599999999999999,0.111,0.075,0.161,0.603,5.8,0.647,0.966,0.055,0.976,02M260,604,,0.97,0.84,,0.96,,,,,,,,,1.0,10003,40.736518,-73.992725,5,2,52,1089902.0,1008420034.0
